customer_id,first_name,last_name,email,country,signup_date
CUST_00001,Dakota,Rosario,paulajenkins@example.org,UK,2025-05-27
CUST_00002,Graham,Brown,deborahnicholls@example.com,DE,2025-12-22
CUST_00003,Mary,Mcdaniel,dlawson@example.org,US,2026-02-18
CUST_00004,Matthew,Wilson,fergusonleon@example.net,US,2026-02-25
CUST_00005,Chelsea,Davis,grantdiane@example.org,UK,2025-08-04
CUST_00006,Elizabeth,Ruiz,scottjosh@example.net,UK,2024-11-26
CUST_00007,Paul,Hamilton,ojohnson@example.org,UK,2024-10-25
CUST_00008,Karen,West,hkoch@example.com,DE,2026-05-13
CUST_00009,Keith,Black,melaniebowen@example.com,US,2026-07-11
CUST_00010,Jill,Hooper,gonzalezchristian@example.org,US,2026-03-26
CUST_00011,William,Ali,porterjosh@example.com,UK,2026-03-25
CUST_00012,Katherine,Johnson,greenkimberley@example.org,DE,2025-09-24
CUST_00013,Alexander,Sanchez,haynesjesse@example.org,DE,2026-06-06
CUST_00014,Frank,Shaffer,terry99@example.com,UK,2024-12-01
CUST_00015,Brandon,Campbell,phillipgill@example.org,UK,2026-07-23
CUST_00016,Barry,Barron,sthompson@example.com,UK,2025-05-24
CUST_00017,Karen,Morley,crystalstevens@example.org,UK,2026-07-04
CUST_00018,John,Ponce,kimberleyscott@example.net,US,2026-03-15
CUST_00019,Teresa,Bates,vharris@example.com,US,2025-03-13
CUST_00020,Nicholas,Flores,lauracollins@example.net,UK,2025-06-05
CUST_00021,Terence,Jones,simonpatel@example.org,US,2025-01-17
CUST_00022,Derek,Wallace,kimberleyfletcher@example.com,UK,2026-01-25
CUST_00023,Laura,Roy,zparsons@example.org,UK,2024-11-28
CUST_00024,Leon,Rogers,xhouston@example.com,UK,2026-08-17
CUST_00025,Timothy,Silva,jdoyle@example.com,US,2026-08-16
CUST_00026,Frank,Field,wilsonkirk@example.org,US,2026-02-05
CUST_00027,Carol,Fry,jarcher@example.net,UK,2025-03-13
CUST_00028,Michael,Pritchard,evansnorman@example.net,US,2026-04-06
CUST_00029,Douglas,Clarke,james16@example.net,US,2025-01-10
CUST_00030,Patricia,Mueller,matthew93@example.org,UK,2026-04-20
CUST_00031,Marc,Pham,nigellawrence@example.org,US,2024-08-31
CUST_00032,Dennis,Turner,sarahcortez@example.net,UK,2025-12-13
CUST_00033,Jennifer,Morgan,georginaiqbal@example.net,UK,2025-04-18
CUST_00034,Christopher,Robbins,natashadobson@example.net,DE,2025-10-07
CUST_00035,Robert,Gordon,julianbegum@example.com,DE,2025-06-30
CUST_00036,Dale,Young,tom41@example.com,DE,2024-10-22
CUST_00037,James,Watkins,fpalmer@example.com,UK,2025-12-29
CUST_00038,Gregory,Evans,alexandra55@example.com,UK,2026-01-31
CUST_00039,Mohammed,Steele,lewis39@example.org,US,2025-04-12
CUST_00040,Nancy,Jones,barbershawn@example.com,US,2025-05-18
CUST_00041,Natalie,Knowles,russelljones@example.net,UK,2025-11-01
CUST_00042,Jean,Smith,brandonmartin@example.com,US,2024-10-14
CUST_00043,Michelle,Diaz,colin65@example.net,UK,2025-11-25
CUST_00044,Gerald,Wilson,rhondasmith@example.com,DE,2025-02-21
CUST_00045,Clifford,Harrison,toddrobert@example.com,UK,2025-09-15
CUST_00046,Antonio,Garcia,joannewalters@example.net,US,2026-05-17
CUST_00047,Anthony,Lawrence,dustin29@example.com,UK,2024-11-12
CUST_00048,Jenna,Simon,pbarton@example.com,US,2025-02-23
CUST_00049,Emily,Briggs,laceypennington@example.net,US,2025-10-24
CUST_00050,Jean,Smith,qwaters@example.org,UK,2025-06-05
CUST_00051,Paige,Nicholls,jwatts@example.org,DE,2026-04-21
CUST_00052,Kerry,Goodwin,walkerconnor@example.com,US,2025-06-21
CUST_00053,Lindsey,Webb,uthomas@example.com,DE,2025-05-24
CUST_00054,Sarah,Mann,dianamoreno@example.com,DE,2025-09-26
CUST_00055,Joel,Rogers,victorjohnson@example.com,US,2025-11-15
CUST_00056,Keith,Smith,pgraham@example.com,DE,2025-05-17
CUST_00057,John,Kaur,ynewton@example.org,UK,2025-08-23
CUST_00058,John,Carter,zrollins@example.org,UK,2025-08-13
CUST_00059,Jennifer,Jarvis,andersonshannon@example.com,UK,2025-01-13
CUST_00060,Josh,Brady,kristin66@example.com,UK,2026-03-06
CUST_00061,John,Booth,russelljames@example.org,UK,2026-07-12
CUST_00062,Brittany,Miller,daleronald@example.com,UK,2025-03-16
CUST_00063,Judith,Hart,eking@example.net,DE,2025-06-21
CUST_00064,Sarah,Rodriguez,gsmith@example.org,UK,2025-05-29
CUST_00065,Mary,Owen,lgregory@example.net,UK,2025-08-27
CUST_00066,Jordan,Griffin,whamilton@example.com,US,2024-10-31
CUST_00067,Jason,Quinn,scott87@example.com,UK,2025-01-26
CUST_00068,Mason,Smith,ericwalker@example.com,DE,2025-07-20
CUST_00069,Caroline,Nixon,christopher21@example.com,UK,2024-10-03
CUST_00070,Michael,Webb,chad38@example.net,DE,2025-10-09
CUST_00071,Meghan,Roberts,patelalex@example.org,US,2026-06-09
CUST_00072,Eugene,Martin,michael93@example.com,UK,2024-08-29
CUST_00073,Joseph,Lane,karen66@example.com,UK,2025-09-14
CUST_00074,Paula,Jones,qturner@example.com,DE,2025-02-02
CUST_00075,Paige,Brown,aimeethompson@example.net,US,2025-10-27
CUST_00076,Michael,Harrison,josephyoder@example.org,US,2026-07-19
CUST_00077,Ryan,Hartley,lyonsshelly@example.com,US,2024-11-04
CUST_00078,Stephen,Wilson,wellstoby@example.com,UK,2026-04-23
CUST_00079,Rosemary,Roberson,ugardner@example.net,UK,2024-09-30
CUST_00080,Nathan,Smith,kristie86@example.net,UK,2025-03-12
CUST_00081,Timothy,West,wtucker@example.net,DE,2026-04-19
CUST_00082,Krystal,Murphy,michaelkelley@example.com,US,2024-12-04
CUST_00083,Anthony,Jennings,tannerleslie@example.org,UK,2025-12-29
CUST_00084,John,Hanson,qcox@example.net,UK,2026-07-28
CUST_00085,Carl,Aguilar,denise06@example.net,UK,2024-11-16
CUST_00086,Catherine,Schofield,rross@example.net,UK,2026-03-21
CUST_00087,Robert,Jones,xdavies@example.net,US,2026-07-25
CUST_00088,Stephen,King,kstephenson@example.com,US,2025-04-22
CUST_00089,Martyn,Dodd,brian32@example.net,DE,2025-06-01
CUST_00090,Sarah,Martin,qsmith@example.net,US,2024-09-04
CUST_00091,Andrew,Taylor,wcastaneda@example.org,UK,2024-11-21
CUST_00092,Gillian,Williams,edwardsmarian@example.org,US,2025-04-18
CUST_00093,Joseph,Begum,icollins@example.com,US,2026-05-19
CUST_00094,Tammy,Clark,philipchambers@example.com,US,2026-01-15
CUST_00095,Scott,Greene,baileyjayne@example.net,US,2025-02-08
CUST_00096,Thomas,Kelly,jennifercaldwell@example.net,US,2025-09-26
CUST_00097,Gabriel,O'Neill,georgekaitlyn@example.net,US,2025-10-25
CUST_00098,Stewart,Greenwood,lopezharold@example.net,US,2024-08-28
CUST_00099,Kathleen,Williams,suzanneharris@example.com,UK,2025-07-09
CUST_00100,Gregory,Johnson,bethanydavies@example.net,UK,2025-03-03
CUST_00101,Anthony,Brown,christopher49@example.net,UK,2025-03-15
CUST_00102,Nathan,Robinson,jonesdonna@example.com,US,2024-12-03
CUST_00103,Maria,Robinson,dcunningham@example.org,UK,2025-04-07
CUST_00104,Todd,Joseph,michael32@example.org,US,2024-12-12
CUST_00105,Simon,Bailey,charlene07@example.net,DE,2025-03-21
CUST_00106,Shawn,Watson,kylemartin@example.net,UK,2025-02-28
CUST_00107,Reece,Hurst,joseph14@example.org,US,2026-06-13
CUST_00108,Nancy,Hammond,jennaward@example.net,US,2026-07-09
CUST_00109,William,Hughes,matthewthomas@example.org,UK,2026-02-02
CUST_00110,Martin,Powell,uwhite@example.com,UK,2025-06-20
CUST_00111,Michael,Cooper,walter47@example.net,UK,2025-05-09
CUST_00112,Tracy,Perkins,susan24@example.net,UK,2025-01-31
CUST_00113,Don,Smith,reneelove@example.net,DE,2026-05-04
CUST_00114,Chris,Evans,abdulmorgan@example.net,DE,2025-04-02
CUST_00115,Daniel,Jones,williamsdavid@example.org,US,2026-02-15
CUST_00116,Maureen,Fitzgerald,kerrynelson@example.com,DE,2026-02-03
